Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
2018 June-December,AG2680062510019,PP687199335536,BLT Pasta Salad (June-Dec),C626739784684,2018 Farmland Support March-December,05/11/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336057,BASE+PURE - January - UDI Partnership,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/07/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336057,BASE+PURE - January - UDI Partnership,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/17/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336058,BASE+PURE - January - Bacon Potato Soup,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/04/2021,3,0,0,3,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336058,BASE+PURE - January - Bacon Potato Soup,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/06/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336058,BASE+PURE - January - Bacon Potato Soup,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/08/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336058,BASE+PURE - January - Bacon Potato Soup,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/09/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336058,BASE+PURE - January - Bacon Potato Soup,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/10/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336058,BASE+PURE - January - Bacon Potato Soup,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/11/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,PP687200336058,BASE+PURE - January - Bacon Potato Soup,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,05/12/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
