Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
6/5-12/31,AG2680062671976,PP687198627245,Pork & Pasta,C626739865576,***2018 Fresh | Portfolio Pinterest,05/04/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
6/5-12/31,AG2680062671976,PP687198627245,Pork & Pasta,C626739865576,***2018 Fresh | Portfolio Pinterest,05/09/2021,3,0,0,3,0,0,0,0,0,0,0,0,0
6/5-12/31,AG2680062671976,PP687198627245,Pork & Pasta,C626739865576,***2018 Fresh | Portfolio Pinterest,05/12/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
6/5-12/31,AG2680062671976,PP687199381875,Carnitas Tacos,C626739865576,***2018 Fresh | Portfolio Pinterest,05/06/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
6/5-12/31,AG2680062671976,PP687199381875,Carnitas Tacos,C626739865576,***2018 Fresh | Portfolio Pinterest,05/10/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
6/5-12/31,AG2680062671976,PP687199381875,Carnitas Tacos,C626739865576,***2018 Fresh | Portfolio Pinterest,05/12/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
6/5-12/31,AG2680062671976,PP687199381875,Carnitas Tacos,C626739865576,***2018 Fresh | Portfolio Pinterest,05/14/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
6/5-12/31,AG2680062671976,PP687199381875,Carnitas Tacos,C626739865576,***2018 Fresh | Portfolio Pinterest,05/16/2021,3,0,0,3,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/04/2021,3,0,0,3,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/05/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/06/2021,10,0,0,10,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/07/2021,5,0,0,5,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/08/2021,4,0,0,4,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/09/2021,10,0,0,10,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/10/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/11/2021,5,0,0,5,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/12/2021,7,0,0,7,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/14/2021,6,0,0,6,0,0,0,0,0,0,0,0,0
10/5-12/31,AG2680063022132,PP687199382010,Root Beer Ribs,C626740089914,***2018 Fresh | Portfolio Pinterest Video,05/15/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
