Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687207588304,Traffic | Home specialists trained to he,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/04/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687207588304,Traffic | Home specialists trained to he,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/06/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687207588304,Traffic | Home specialists trained to he,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/07/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687207921347,Traffic | Shop our Labor Day sale and sa,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/05/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687207921347,Traffic | Shop our Labor Day sale and sa,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/08/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687207921347,Traffic | Shop our Labor Day sale and sa,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/16/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687208110055,Traffic | Shop our Labor Day sale and sa,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/09/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687208110055,Traffic | Shop our Labor Day sale and sa,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/15/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687208110055,Traffic | Shop our Labor Day sale and sa,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/16/2021,4,0,0,4,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687208110055,Traffic | Shop our Labor Day sale and sa,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/17/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687208636712,Traffic | Love your mattress & the price,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/07/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687208636712,Traffic | Love your mattress & the price,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/08/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687208636712,Traffic | Love your mattress & the price,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/11/2021,5,0,0,5,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687208636712,Traffic | Love your mattress & the price,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/12/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687208636712,Traffic | Love your mattress & the price,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/14/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,PP687208636712,Traffic | Love your mattress & the price,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/15/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687208636713,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/08/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,PP687208636714,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/11/2021,8,0,0,8,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,PP687208636714,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/12/2021,6,0,0,6,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,PP687208636714,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/13/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,PP687208636714,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/14/2021,8,0,0,8,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,PP687208636714,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/15/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,PP687208636714,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/16/2021,9,0,0,9,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,PP687208636714,Traffic | Love your sofa & the price. Sh,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/17/2021,12,0,0,12,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687209021890,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/09/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687209021890,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/10/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687209021890,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/11/2021,8,0,0,8,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687209021890,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/12/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687209021890,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/13/2021,5,0,0,5,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,PP687209021890,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,05/14/2021,7,0,0,7,0,0,0,0,0,0,0,0,0
