Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593388,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/04/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593388,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/05/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593388,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/08/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593388,Image_Square_NAN_Firefly Easter 1x1_Boost_NAN_NAN_National_03.24.21-04.04.21,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/12/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593389,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/04/2021,60,3,0,60,3,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593389,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/05/2021,28,0,0,28,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593389,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/06/2021,48,0,0,48,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593389,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/07/2021,89,0,0,89,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593389,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/08/2021,69,0,0,69,0,0,0,0,0,0,0,0,0
Pinterest_Static Display Pin_High Affinity_Core_Parents (Kids 3-8)_1st Party Data_Website_Landing Page Views_All Products_NAN_NAN_NAN_03.24.21-04.04.21,AG2680068058396,PP687214593389,Image_Square_NAN_Firefly Easter 2x3_Boost_NAN_NAN_National_03.24.21-04.04.22,C626743710605,PERR_Firefly_Firefly Pinterest 2021_Traffic_NAN_NAN_Tentpole Moments,05/09/2021,25,0,0,25,0,0,0,0,0,0,0,0,0
