Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687199335536,2021-05-11,BLT Pasta Salad (June-Dec),ACTIVE,0,2018 June-December,AG2680062510019,C626739784684,2018 Farmland Support March-December,2,0,2,0,0,0,0,0,0,0,0,0,P6685099430504284
PP687200336057,2021-05-07,BASE+PURE - January - UDI Partnership,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179947
PP687200336057,2021-05-17,BASE+PURE - January - UDI Partnership,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179947
PP687200336058,2021-05-04,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,3,0,3,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-06,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-08,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-09,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-10,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-11,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,2,0,2,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-12,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,2,0,2,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-13,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-14,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-15,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-16,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,2,0,2,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336058,2021-05-17,BASE+PURE - January - Bacon Potato Soup,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200336059,2021-05-04,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-07,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-08,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,2,0,2,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-09,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-11,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-12,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-13,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-15,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-16,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,6,0,6,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200336059,2021-05-17,BASE+PURE - January/ February - Avocado Egg,PAUSED,0,1.23.19_12.31.19_Base+Pure_DMA_Awareness_Both_25-54_All Placements,AG2680063372822,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,4,0,4,0,0,0,0,0,0,0,0,0,P6685099433179941
PP687200346585,2021-05-04,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200346585,2021-05-05,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200346585,2021-05-08,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,3,0,3,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200346585,2021-05-10,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,8,0,8,0,0,0,0,0,0,1,0,1,P6685099430671151
PP687200346585,2021-05-11,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,5,0,5,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200346585,2021-05-12,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200346585,2021-05-13,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,3,0,3,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200346585,2021-05-14,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,1,0,1,0,0,0,0,0,0,0,0,0,P6685099430671151
PP687200346585,2021-05-15,BASE - January - Bacon Potato Soup,PAUSED,0,7.1.19-7.31.19_Base_DMA_Awareness_Both_25-54_All Placements,AG2680063382187,C626740320724,Farmland_2019_Pinterest_Brand Awareness_1.23.19_6.30.19,2,0,2,0,0,0,0,0,0,0,0,0,P6685099430671151
