Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687207588304,2021-05-04,Traffic | Home specialists trained to he,ACTIVE,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212653771142
PP687207588304,2021-05-06,Traffic | Home specialists trained to he,ACTIVE,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212653771142
PP687207588304,2021-05-07,Traffic | Home specialists trained to he,ACTIVE,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212653771142
PP687207921347,2021-05-05,Traffic | Shop our Labor Day sale and sa,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212654410399
PP687207921347,2021-05-08,Traffic | Shop our Labor Day sale and sa,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212654410399
PP687207921347,2021-05-16,Traffic | Shop our Labor Day sale and sa,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212654410399
PP687208110055,2021-05-09,Traffic | Shop our Labor Day sale and sa,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212654643364
PP687208110055,2021-05-15,Traffic | Shop our Labor Day sale and sa,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212654643364
PP687208110055,2021-05-16,Traffic | Shop our Labor Day sale and sa,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,4,0,4,0,0,0,0,0,0,0,0,0,P753438212654643364
PP687208110055,2021-05-17,Traffic | Shop our Labor Day sale and sa,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212654643364
