Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687201504548,2021-05-16,Awareness_Utility Support_Cone Dippers KW 6.13.14_West_DIY Cone Dippers,ACTIVE,0,Awareness_Utility Support_Cone Dippers KW 6.13.14_West,AG2680063912366,C626740731281,Awareness_Utility Support_Cone Dippers_West,1,0,1,0,0,0,0,0,0,0,0,0,P102597697748114826
PP687201504552,2021-05-05,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,ACTIVE,0,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,C626740731281,Awareness_Utility Support_Cone Dippers_West,2,0,2,0,0,0,0,0,0,0,0,0,P102597697748114826
PP687201504552,2021-05-06,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,ACTIVE,0,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,C626740731281,Awareness_Utility Support_Cone Dippers_West,8,0,8,0,0,0,0,0,0,0,0,0,P102597697748114826
PP687201504552,2021-05-08,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,ACTIVE,0,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,C626740731281,Awareness_Utility Support_Cone Dippers_West,1,0,1,0,0,0,0,0,0,0,0,0,P102597697748114826
PP687201504552,2021-05-12,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,ACTIVE,0,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,C626740731281,Awareness_Utility Support_Cone Dippers_West,3,0,3,0,0,0,0,0,0,0,0,0,P102597697748114826
PP687201504552,2021-05-13,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,ACTIVE,0,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,C626740731281,Awareness_Utility Support_Cone Dippers_West,3,0,3,0,0,0,0,0,0,0,0,0,P102597697748114826
PP687201504552,2021-05-17,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,ACTIVE,0,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,C626740731281,Awareness_Utility Support_Cone Dippers_West,1,0,1,0,0,0,0,0,0,0,0,0,P102597697748114826
PP687205122194,2021-05-10,Video views (CPV) | Better bites start now,ACTIVE,0,TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401705
PP687205122194,2021-05-11,Video views (CPV) | Better bites start now,ACTIVE,0,TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,3,0,3,0,0,0,0,0,0,0,0,0,P102597697749401705
PP687205122194,2021-05-12,Video views (CPV) | Better bites start now,ACTIVE,0,TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,2,0,2,0,0,0,0,0,0,0,0,0,P102597697749401705
PP687205122194,2021-05-13,Video views (CPV) | Better bites start now,ACTIVE,0,TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,2,0,2,0,0,0,0,0,0,0,0,0,P102597697749401705
