Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/04/2021,17,0,0,17,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/05/2021,12,5,0,12,5,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/06/2021,7,0,0,7,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/07/2021,6,0,0,6,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/08/2021,13,0,0,13,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/09/2021,20,1,0,20,1,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/10/2021,17,0,0,17,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/11/2021,8,0,0,8,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/12/2021,5,0,0,5,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/13/2021,16,1,0,16,1,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/14/2021,12,0,0,12,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/15/2021,17,0,0,17,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/16/2021,11,0,0,11,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105177,Awareness | Breakfast Sausage Stuffed Pepp,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/17/2021,14,0,0,14,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105178,Awareness | Pancake Bacon Dippers,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/04/2021,57,1,0,57,1,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105178,Awareness | Pancake Bacon Dippers,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/05/2021,32,0,0,32,0,0,0,0,0,0,0,0,0.0
4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,PP687201105178,Awareness | Pancake Bacon Dippers,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,05/06/2021,33,1,0,33,1,0,0,0,0,0,0,0,0.0
