Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
"1.7.19_1.27.19_January Awareness STATIC_Zips_Awareness_Both_18+_Search, Browse",AG2680063301365,PP687200198704,Healthy Bottomless Options,C626740279770,Red Robin_January 2019 STATIC_Pinterest_Brand Awareness_1.7.19_1.27.19,05/06/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.7.19_1.27.19_January Awareness STATIC_Zips_Awareness_Both_18+_Search, Browse",AG2680063301365,PP687200198704,Healthy Bottomless Options,C626740279770,Red Robin_January 2019 STATIC_Pinterest_Brand Awareness_1.7.19_1.27.19,05/11/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.7.19_1.27.19_January Awareness VIDEO_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063301416,PP687200198831,Lettuce go green in 2019,C626740279836,Red Robin_January 2019 VIDEO_Pinterest_Video Awareness_1.7.19_1.27.19,05/06/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.7.19_1.27.19_January Awareness VIDEO_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063301416,PP687200198831,Lettuce go green in 2019,C626740279836,Red Robin_January 2019 VIDEO_Pinterest_Video Awareness_1.7.19_1.27.19,05/15/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,PP687200361202,Set the Table,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,05/04/2021,4,0,0,4,0,0,0,0,0,0,0,0,0
"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,PP687200361202,Set the Table,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,05/06/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,PP687200361202,Set the Table,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,05/07/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,PP687200361202,Set the Table,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,05/09/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,PP687200361202,Set the Table,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,05/12/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,PP687200361202,Set the Table,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,05/13/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
