Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
Awareness_Utility Support_Cone Dippers KW 6.13.14_West,AG2680063912366,PP687201504548,Awareness_Utility Support_Cone Dippers KW 6.13.14_West_DIY Cone Dippers,C626740731281,Awareness_Utility Support_Cone Dippers_West,05/16/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,PP687201504552,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,C626740731281,Awareness_Utility Support_Cone Dippers_West,05/05/2021,2,0,0,2,0,0,0,0,0,0,0,0,0.0
Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,PP687201504552,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,C626740731281,Awareness_Utility Support_Cone Dippers_West,05/06/2021,8,0,0,8,0,0,0,0,0,0,0,0,0.0
Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,PP687201504552,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,C626740731281,Awareness_Utility Support_Cone Dippers_West,05/08/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,PP687201504552,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,C626740731281,Awareness_Utility Support_Cone Dippers_West,05/12/2021,3,0,0,3,0,0,0,0,0,0,0,0,0.0
Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,PP687201504552,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,C626740731281,Awareness_Utility Support_Cone Dippers_West,05/13/2021,3,0,0,3,0,0,0,0,0,0,0,0,0.0
Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West,AG2680063912243,PP687201504552,Awareness_Utility Support_Cone Dippers Laura Eva Patti 6.13.14_West_DIY Cone Dippers,C626740731281,Awareness_Utility Support_Cone Dippers_West,05/17/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,PP687205122194,Video views (CPV) | Better bites start now,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,05/10/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,PP687205122194,Video views (CPV) | Better bites start now,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,05/11/2021,3,0,0,3,0,0,0,0,0,0,0,0,0.0
TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,PP687205122194,Video views (CPV) | Better bites start now,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,05/12/2021,2,0,0,2,0,0,0,0,0,0,0,0,0.0
TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,PP687205122194,Video views (CPV) | Better bites start now,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,05/13/2021,2,0,0,2,0,0,0,0,0,0,0,0,0.0
TM_CreamCheese_BrandLed_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CreamCheeseInterest_NAN_CPM_CROS_VID15_SS_CreamCheeseMarkets_NAN_03.11-04.30_NAN_Feed,AG2680065346974,PP687205122194,Video views (CPV) | Better bites start now,C626741731543,ASM_CreamCheese_AllMarkets_VideoViews_AllPlacements_03.011-04.30,05/16/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/06/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/07/2021,2,0,0,2,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/10/2021,2,0,0,2,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/11/2021,7,0,0,7,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/12/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/13/2021,15,0,0,15,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/15/2021,2,0,0,2,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/16/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122885,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/17/2021,3,0,0,3,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122886,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/17/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122887,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/05/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122887,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/07/2021,4,0,0,4,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122887,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/14/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065347327,PP687205122887,Video views (CPV) | Better bites start now,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,05/15/2021,1,0,0,1,0,0,0,0,0,0,0,0,0.0
