Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687201105177,2021-05-04,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,17,0,17,0,0,0,0,0,0,0,0,0,P336784878383044320
PP687201105177,2021-05-05,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,12,0,12,0,0,0,0,0,0,5,0,5,P336784878383044320
PP687201105177,2021-05-06,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,7,0,7,0,0,0,0,0,0,0,0,0,P336784878383044320
PP687201105177,2021-05-07,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,6,0,6,0,0,0,0,0,0,0,0,0,P336784878383044320
PP687201105177,2021-05-08,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,13,0,13,0,0,0,0,0,0,0,0,0,P336784878383044320
PP687201105177,2021-05-09,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,20,0,20,0,0,0,0,0,0,1,0,1,P336784878383044320
PP687201105177,2021-05-10,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,17,0,17,0,0,0,0,0,0,0,0,0,P336784878383044320
PP687201105177,2021-05-11,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,8,0,8,0,0,0,0,0,0,0,0,0,P336784878383044320
PP687201105177,2021-05-12,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,5,0,5,0,0,0,0,0,0,0,0,0,P336784878383044320
PP687201105177,2021-05-13,Awareness | Breakfast Sausage Stuffed Pepp,ACTIVE,0,4.22.19_5.31.19_FJ 2019_DMA_Awareness_Both_25-54_All,AG2680063699238,C626740568651,Farmer John_2019 Brand Awareness_Pinterest_Brand Awareness_4.22.19_5.31.19,16,0,16,0,0,0,0,0,0,1,0,1,P336784878383044320
