Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687200198704,2021-05-06,Healthy Bottomless Options,PAUSED,0,"1.7.19_1.27.19_January Awareness STATIC_Zips_Awareness_Both_18+_Search, Browse",AG2680063301365,C626740279770,Red Robin_January 2019 STATIC_Pinterest_Brand Awareness_1.7.19_1.27.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094367019
PP687200198704,2021-05-11,Healthy Bottomless Options,PAUSED,0,"1.7.19_1.27.19_January Awareness STATIC_Zips_Awareness_Both_18+_Search, Browse",AG2680063301365,C626740279770,Red Robin_January 2019 STATIC_Pinterest_Brand Awareness_1.7.19_1.27.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094367019
PP687200198831,2021-05-06,Lettuce go green in 2019,PAUSED,0,"1.7.19_1.27.19_January Awareness VIDEO_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063301416,C626740279836,Red Robin_January 2019 VIDEO_Pinterest_Video Awareness_1.7.19_1.27.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094367066
PP687200198831,2021-05-15,Lettuce go green in 2019,PAUSED,0,"1.7.19_1.27.19_January Awareness VIDEO_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063301416,C626740279836,Red Robin_January 2019 VIDEO_Pinterest_Video Awareness_1.7.19_1.27.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094367066
PP687200361202,2021-05-04,Set the Table,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,4,0,4,0,0,0,0,0,0,0,0,0,P424886546094660636
PP687200361202,2021-05-06,Set the Table,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094660636
PP687200361202,2021-05-07,Set the Table,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094660636
PP687200361202,2021-05-09,Set the Table,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094660636
PP687200361202,2021-05-12,Set the Table,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094660636
PP687200361202,2021-05-13,Set the Table,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,2,0,2,0,0,0,0,0,0,0,0,0,P424886546094660636
PP687200361202,2021-05-16,Set the Table,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094660636
PP687200361203,2021-05-07,Catering Tree,ACTIVE,0,"1.28.19_3.31.19_Catering_Zips_Video Awareness_Both_18+_Search, Browse",AG2680063388840,C626740326156,Red Robin_Catering Jan-Mar 2019_Pinterest_Video Awareness_1.28.19_3.31.19,1,0,1,0,0,0,0,0,0,0,0,0,P424886546094660565
